DAY,MONTH,YEAR,DISCHARGE [CFS],ID,SITE,DATE,d2HVSMOW (‰),d18OVSMOW (‰),ppt (mm),tmean (degrees C)
1,10,2020,9.71,,,,,,0,17.4
2,10,2020,8.61,,,,,,0,17.3
3,10,2020,7.67,,,,,,0,17.8
4,10,2020,7.79,,,,,,0,17.3
5,10,2020,7.06,,,,,,0,15
6,10,2020,6.79,G07-39,MAR-PHI,10/6/20,-53.81139646,-7.907371365,0,16.1
7,10,2020,6.72,G07-41,MAR-PHI,10/7/20,-53.86135926,-7.948214732,0,16.9
8,10,2020,6.98,G07-43,MAR-PHI,10/8/20,-53.82787101,-7.896839096,0,16
9,10,2020,6.34,G07-45,MAR-PHI,10/9/20,-54.17585452,-7.96377832,0.48,15.3
10,10,2020,24.2,G07-47,MAR-PHI,10/10/20,-54.38984014,-7.989432755,18.01,16.2
11,10,2020,33.1,G07-49,MAR-PHI,10/11/20,-55.00563003,-8.090526262,7.65,13.2
12,10,2020,71.7,G07-51,MAR-PHI,10/12/20,-53.52689603,-7.879928513,7.87,13.2
13,10,2020,63.5,G07-53,MAR-PHI,10/13/20,-52.43518877,-7.892463902,4.02,14.6
14,10,2020,65.4,G07-55,MAR-PHI,10/14/20,-52.09890986,-7.731456995,2.52,12.4
15,10,2020,52.9,G07-57,MAR-PHI,10/15/20,-51.53766881,-7.741366412,0.15,11.3
16,10,2020,33.3,G07-59,MAR-PHI,10/16/20,-52.02396274,-7.800717941,0,11.3
17,10,2020,24.7,G07-61,MAR-PHI,10/17/20,-52.03570102,-7.830215103,0.97,13.3
18,10,2020,20.5,G07-63,MAR-PHI,10/18/20,-51.90655933,-7.826423758,0,14.7
19,10,2020,19.1,G07-65,MAR-PHI,10/19/20,-51.74169731,-7.806382533,0.01,14.2
20,10,2020,17.4,,,,,,0,12.8
21,10,2020,16.1,G07-67,MAR-PHI,10/21/20,-52.05618918,-7.81339133,0.59,11.8
22,10,2020,14.8,,,,,,0,7.8
23,10,2020,12.9,G07-69,MAR-PHI,10/23/20,-52.12105689,-7.783222987,0,7.1
24,10,2020,12.4,,,,,,0,7.5
25,10,2020,11.7,G07-71,MAR-PHI,10/25/20,-52.98367237,-7.888164166,0,8.6
26,10,2020,11.3,,,,,,0,3.8
27,10,2020,12.8,,,,,,0,4.9
28,10,2020,11.9,,,,,,0,6.6
29,10,2020,11.4,,,,,,0,9.8
30,10,2020,11.5,,,,,,0.91,7.8
31,10,2020,12.5,,,,,,0.09,8.9
