,,other,sewage-wastewater,freshwater,groundwater,biofilm,marine,sediment,soil,
1,007978dab7aed7eb4d5ffff337638bd2,0,0,0,0,0,0,70.1897255941139,29.8102744058861,100
2,0090b6c69e484667f923767fe7babd21,100,0,0,0,0,0,0,0,100
3,00d4306620fb956f4cb8ea6616da13a3,0,0,65.6668343697038,0,0,28.0759944212606,0,6.25717120903553,99.9999999999999
4,010a3efe25cda58c31b6d13db3675881,100,0,0,0,0,0,0,0,100
5,0144a761721583bb4acc1af57044d8ae,0,0,0,0,0,0,0,100,100
6,01fab5128a356827231fbacc44b9981a,0,0,42.0900387226923,24.009104129166,0,0,0,33.9008571481416,99.9999999999999
7,0202d02690b13876befe4cb198a29777,0,0,0,0,0,100,0,0,100
8,02cbeba62c5f39917f0503ba21755b93,100,0,0,0,0,0,0,0,100
9,02f9203a0721d9f8e1449fc1dd126966,100,0,0,0,0,0,0,0,100
10,03863e3470d66491b7273ecffa65f0f3,100,0,0,0,0,0,0,0,100
11,03c351c76c14ec2e586f2d99fbd0bff3,100,0,0,0,0,0,0,0,100
12,03c66efff248fb6d9f619306d150b587,100,0,0,0,0,0,0,0,100
13,03d5bd5fdfb65e8a115b7eebc44ceac4,100,0,0,0,0,0,0,0,100
14,040bd74a5c9b1a37501cd9fc4c554326,0,0,0,23.8436580426224,0,0,0,76.1563419573775,99.9999999999999
15,04142f57128d576ffcc580fb0dd9c563,100,0,0,0,0,0,0,0,100
16,0474a04e496a887e5436eee26fafeda0,100,0,0,0,0,0,0,0,100
17,0476697a1be576c5ef6b27cd10f3e4e5,100,0,0,0,0,0,0,0,100
18,0518e21e2e362fd0ecbfe97e1971604d,100,0,0,0,0,0,0,0,100
19,053c09f43a8ca677723e10f2650f95aa,0,26.3924319955763,0,23.1859323096007,0,0,5.14031973074893,45.2813159640739,99.9999999999998
20,059a253e2dfed34d9fb94079a168aed4,100,0,0,0,0,0,0,0,100
21,05caaa47d22f303c86adf9c39cefcb09,100,0,0,0,0,0,0,0,100
22,05d385f8260362e624138cae31e3f909,19.4427647618015,0,45.1603657288482,22.7797445724882,0,12.6171249368618,0,0,99.9999999999997
23,06620bf0b3fe7526e28ace17a2b9624e,100,0,0,0,0,0,0,0,100
24,070fc272903ae7ea02e3a26448029004,0,0,84.4345489594055,6.44829175757606,0,0,0,9.11715928301831,99.9999999999999
25,074be7e43427d8ec744d1ec5af857122,100,0,0,0,0,0,0,0,100
26,07892ea8d4444d9f9e5507213fc13d4f,0,0,0,0,0,0,0,100,100
27,07d5b414e682831def7740ff3b0f4e05,0,0,67.1626132634178,0,0,32.8373867365822,0,0,100
28,07f99fb784f40642f9713e217b9008d1,100,0,0,0,0,0,0,0,100
