,2020-10-06 00:00:00,2020-10-07 00:00:00,2020-10-08 00:00:00,2020-10-09 00:00:00,2020-10-10 00:00:00,2020-10-11 00:00:00,2020-10-12 00:00:00,2020-10-13 00:00:00,2020-10-14 00:00:00,2020-10-15 00:00:00,2020-10-16 00:00:00,2020-10-17 00:00:00,2020-10-18 00:00:00,2020-10-19 00:00:00,2020-10-21 00:00:00,2020-10-23 00:00:00,2020-10-25 00:00:00,cqcode,group
3eeb4a6278652363d350b5391ebeb470,19.975,27.375,29.275,23.225,34.975,26.25,23.625,24.575,19.025,25.775,28.425,30.625,31.2,29.675,27.175,28.05,27.675,-1.0,Gammaproteobacteria
c39ea129388a077989abed2081b5fe88,13.375,14.75,18.225,18.6,10.225,17.325,13.6,3.025,9.95,9.9,14.3,13.525,19.725,20.875,20.35,18.45,17.55,-1.0,Bacteroidota
08220c63935e60ddef0830ac0cd3a6c5,7.175,5.925,6.0,6.575,6.3,6.9,3.65,4.25,4.95,5.275,5.05,7.05,6.85,5.8,6.375,9.625,12.9,-1.0,Actinobacteriota
f7d481c6e4ae9e0ac296fe40603965f7,2.175,2.775,1.975,1.15,7.375,13.95,9.15,3.75,2.325,1.775,0.525,0.6,2.8,3.0,5.975,3.925,2.925,0.0,Bacteroidota
4e5ff310075a50266f9d480989d68398,2.65,3.5,3.475,3.525,2.85,2.125,3.225,3.575,3.425,3.8,4.275,3.9,2.65,3.3,5.525,4.25,5.6,-1.0,Gammaproteobacteria
e416d0916760d2fc17b616e2ac3ad855,2.625,2.9,3.975,3.55,3.225,2.125,2.85,3.525,2.725,3.45,3.95,5.55,3.275,3.775,3.675,4.55,3.35,-1.0,Gammaproteobacteria
cd3252d96bdb1efe5fc05bc00a9d9309,3.525,6.075,3.475,5.025,4.0,2.325,2.575,2.725,2.2,3.625,2.05,3.075,2.8,2.725,3.425,4.525,2.95,0.0,Actinobacteriota
af27577de5edb10c09f7fc19b9ca45ca,3.25,2.725,2.3,2.85,2.175,3.325,2.375,6.275,5.05,5.175,2.825,1.85,2.925,1.975,2.4,2.15,1.575,1.0,Alphaproteobacteria
f9c1c7de158ab4d555ec46bec26478f1,2.0,1.725,2.3,2.6,2.275,0.975,1.25,9.9,4.05,4.05,1.875,1.375,1.475,1.65,1.525,1.7,3.025,0.0,Bacteroidota
ffd660f96ba6668b2d8d86fc4e150862,1.3,1.95,2.175,2.525,2.15,1.625,4.4,1.25,2.35,3.825,3.375,2.95,1.5,1.825,1.5,1.05,1.225,0.0,Bacteroidota
f3adc35cb1fc524f48eba2a0ea2c2b07,4.325,3.95,3.225,4.075,6.775,0.775,1.5,0.8,0.975,0.425,0.725,1.575,1.25,1.075,1.375,1.25,1.475,0.0,Gammaproteobacteria
953d6d0a551de62b58c96dbef8759bbd,1.675,1.225,1.2,1.475,0.35,1.575,1.45,1.525,2.9,3.0,2.5,2.3,1.875,2.1,2.575,3.55,3.9,0.0,Actinobacteriota
