"","GH2020.013.832","GH2020.014.832","GH2020.015.832","GH2020.016.832","GH2020.017.832","GH2020.018.832","GH2020.019.832","GH2020.020.832","GH2020.021.832","GH2020.022.832","GH2020.023.832","GH2020.024.832","GH2020.025.832","GH2020.026.832","GH2020.027.832","GH2020.028.832","GH2020.029.832"
"e28fae7918aa990283e66ffbc37f5b22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e0bcc6d44d4977dddb1970c375827601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"711c649a7e32b26d256de93d37136901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4746b668ea607696654556edbe5d9b71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6922155f847f53b56ad76783fe0482e3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9a7fe7dcc440eb2dbaf24f4e026a69f8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"983d9a912793dc732c21c7311be8711c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f1a276064ed37471ec73a61b1a95a4e1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6d612cca2738ab2c25a9e54e00d4fb4e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3dc782935e6aac317d03749bb7e2b55a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"de029f0f8de265d252d152518582c2d7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6e8841a46fd3a271479a13e96746cd53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9f74f2edf0594ab67d91197a369b72b6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1479143351924d57b0267dbccd9dc52f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e1969b7666b9053e3542a206704371d1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2f797226adb400b3acc18f5e3a1201b6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"760d8935d9366de0ce2f01182c23c5e9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f3249d2b7bc7b4d711cb83a3de6b690d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112d4a6ba4b7719cdbb89aa8cc5f6a97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bcee1a07bc84aba192868522970e6a9a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d6a565502c8a9621f73eed8fc132234a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e1c4f4528d51a989775c5736051bb68f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f018099355eaca060cff68a6251299bf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ac47b8d3e23170767a1c50201bc38273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4881160eb7f6a914497d49921f2577fd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9db97685d41f290cd514407d53ffc494",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9dc50eb11c9d4b19f54eeba02dc00b8a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"948a5f7d0f76f07fc71b29b48515467b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22a775fbe0adba6b3710ccaab0ff82ab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47e1fd3f0f528fbebf91990e47a2c68a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99d967ee5effcd2b32a5b589ca7886a0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9d72c10017eb6bd206eec1ab871bdd93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b343906eed321490a1e222e7519df407",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"debad8a523fc445a1fc178c1489ed02a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"be132b5c50ae733773351d8af1d8397b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d81bd4c104480bd0f01af07d439bc20a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"afd0427632897df100f1a629971bfc75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47e68dba4425bfba0360ce5df8d4c26a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7d4fff945fcefe6ac1935d30146f139e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ddd9484c453fc64b4d7abcaf276dca0c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104f04e93d37266b02ab45938d55d928",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
