,GH2020.013.832,GH2020.014.832,GH2020.015.832,GH2020.016.832,GH2020.017.832,GH2020.018.832,GH2020.019.832,GH2020.020.832,GH2020.021.832,GH2020.022.832,GH2020.023.832,GH2020.024.832,GH2020.025.832,GH2020.026.832,GH2020.027.832,GH2020.028.832,GH2020.029.832
3eeb4a6278652363d350b5391ebeb470,799,1095,1171,929,1399,1050,945,983,761,1031,1137,1225,1248,1187,1087,1122,1107
c39ea129388a077989abed2081b5fe88,535,590,729,744,409,693,544,121,398,396,572,541,789,835,814,738,702
08220c63935e60ddef0830ac0cd3a6c5,287,237,240,263,252,276,146,170,198,211,202,282,274,232,255,385,516
f7d481c6e4ae9e0ac296fe40603965f7,87,111,79,46,295,558,366,150,93,71,21,24,112,120,239,157,117
4e5ff310075a50266f9d480989d68398,106,140,139,141,114,85,129,143,137,152,171,156,106,132,221,170,224
e416d0916760d2fc17b616e2ac3ad855,105,116,159,142,129,85,114,141,109,138,158,222,131,151,147,182,134
cd3252d96bdb1efe5fc05bc00a9d9309,141,243,139,201,160,93,103,109,88,145,82,123,112,109,137,181,118
af27577de5edb10c09f7fc19b9ca45ca,130,109,92,114,87,133,95,251,202,207,113,74,117,79,96,86,63
f9c1c7de158ab4d555ec46bec26478f1,80,69,92,104,91,39,50,396,162,162,75,55,59,66,61,68,121
ffd660f96ba6668b2d8d86fc4e150862,52,78,87,101,86,65,176,50,94,153,135,118,60,73,60,42,49
f3adc35cb1fc524f48eba2a0ea2c2b07,173,158,129,163,271,31,60,32,39,17,29,63,50,43,55,50,59
953d6d0a551de62b58c96dbef8759bbd,67,49,48,59,14,63,58,61,116,120,100,92,75,84,103,142,156
68262884f1021c896f8e1bf7348d773c,31,55,38,46,35,99,42,19,34,65,118,106,117,101,63,138,121
fe7b5b769375b837bb6d4bfa6dee234f,104,144,91,93,61,69,80,19,27,25,27,28,47,68,49,45,12
ec1b43e5744d0729275b2baa1c16ede9,41,58,50,85,37,92,76,84,126,70,19,14,36,26,72,20,25
653334c36340a20181971e05d9b4e110,27,10,23,22,54,41,133,87,110,61,71,52,73,53,25,27,40
1d1d68c0261030f6885f385754f10174,28,19,37,25,30,18,24,41,19,65,111,113,86,94,59,39,62
24055c9a3d2b339846662bc114d7f158,13,24,27,60,27,17,23,0,28,13,65,59,101,89,101,128,86
f9491c3e6b9696bee439b98d32336180,19,6,9,4,0,3,0,46,24,30,73,79,90,81,124,70,84
00d4306620fb956f4cb8ea6616da13a3,60,25,42,43,18,44,24,54,37,44,41,25,37,21,19,12,15
4b005828a1cb2add3f80a8d6f4d87519,75,49,50,42,12,69,30,0,58,20,47,10,0,28,0,11,17
128126b2087f7f7f7566f024fbdf5a05,7,0,8,22,0,33,41,33,52,61,27,15,29,38,39,38,30
5395cf9d11c88c5a47b933b199fb99bb,75,30,26,16,4,14,41,32,86,28,39,10,9,12,7,0,0
6b94959874b693c3304e68c57cefd287,45,33,37,37,45,26,25,21,22,20,11,13,20,10,0,12,7
182bb0ae69d9b451fda7ceb8d8d3cd9e,4,7,11,11,35,14,24,49,56,45,23,32,18,15,0,13,6
0b60e65624fab50047f1eb1eb04002d1,70,46,26,17,7,21,24,48,43,20,4,3,0,4,0,0,0
6107feed8d202981b5e39e244bb4b3cc,41,20,42,45,13,22,31,6,24,8,8,4,7,7,13,0,0
c58754f3613677615cb80ce5013b088c,5,6,0,0,0,2,4,119,91,14,5,11,10,0,0,0,0
874311c1048fd431c9e27bee67784ac7,19,15,29,18,0,12,36,0,12,25,34,15,16,15,0,8,0
54658c5cabc3c6c07f1e6556120cc99c,25,10,15,10,0,10,16,24,29,13,16,13,17,12,17,10,16
eb2625c1474f98f554b002fcd5d1088e,5,3,0,0,0,6,0,93,38,27,16,31,3,0,8,7,0
6e6f306a337ba255a7f4a7f8469ff691,15,8,8,7,14,11,13,11,8,15,26,20,14,18,16,9,11
680a50c1257b1f625387c1f5eac1f8f7,14,16,7,0,10,17,0,7,7,10,7,0,0,18,47,34,25
f672aa3aea2d03f0b297739022e9b716,17,18,12,7,15,0,10,27,16,23,22,18,5,13,0,5,10
2d2bbc4cfa8b494a23ea16706372d26c,36,31,37,70,17,4,0,0,0,0,0,0,0,0,0,0,0
1aa45332969575442e0a457ef371669d,11,18,8,18,8,2,0,11,9,17,19,17,12,9,0,0,0
d7bcf10280a09cd0b463ce3f2d218d9c,10,11,9,11,0,0,15,21,17,24,29,8,0,0,0,0,0
7f79adb6f17ca8c8dec3d655e2206dd6,9,1,0,9,10,3,8,31,15,20,9,7,6,12,0,0,0
68a0248959d58ceddd095bab1e768a6c,0,0,0,0,0,0,1,63,28,27,7,6,0,0,0,0,0
502419a4a0d188164b40db1cf6722742,16,13,8,9,14,13,19,8,7,5,8,0,0,0,0,0,0
2ffc5bba8b56d331697fbd2db663fa69,35,22,17,12,0,0,0,9,7,5,5,5,0,0,0,0,0
5c2392591fbe650b20394fc09e9ca90c,10,22,9,0,5,8,17,11,14,12,0,5,0,0,0,0,0
5fa97937c087ce34a2c5ae09d617b9b1,7,0,5,0,9,0,5,16,22,16,11,9,6,0,0,0,4
0fdc35769b2ba30b50ad58aece701229,18,33,29,26,0,0,0,0,0,0,0,0,0,0,0,0,0
0f881e6a9e07d0f8bdc7e9090af410e9,16,16,6,12,0,22,5,16,5,0,0,0,0,0,0,0,0
916adc5619fafc4705b3e937d5b00c6f,10,0,0,0,0,0,0,0,0,10,18,18,22,19,0,0,0
12ba333122e7499eb63d8df0ad7ea92c,3,0,0,0,0,2,22,17,18,8,7,7,0,0,0,0,5
5f8c17bb109331397db134013bf9e9ba,19,6,0,0,0,0,14,9,0,8,10,11,11,0,0,0,0
d70adaf7d3d98a3004a9dcf45f734e64,17,9,5,0,0,0,4,13,16,9,6,3,4,0,0,0,0
5dd9b4c4fb4de32a93a6e834dde0faa2,10,12,16,28,6,0,0,0,0,0,0,0,0,0,9,0,2
3a7c521ac033b79223933718a9a95f60,5,5,0,0,0,0,0,13,19,8,9,3,13,4,0,0,0
fd5786c34fcd869feecb36f039662457,22,11,6,7,0,4,9,0,7,3,5,5,0,0,0,0,0
49363be39f4e73fc08154c4e95e73321,5,14,11,10,12,4,4,0,6,0,2,3,2,3,0,0,0
c79a813ff3faab143e9d2183861efa25,16,5,0,7,0,0,17,0,25,4,0,0,0,0,0,0,0
e4d1a7edc70a5b859d68e0146708f3fa,6,0,9,0,4,0,0,0,3,0,9,2,17,0,0,7,6
9c7422a3a4ea092153a2fbc0fe158fa7,2,0,0,0,0,5,17,8,7,3,10,8,0,0,0,0,0
36232b0e9a92abeb38a7c95bef2edb71,5,11,11,8,0,0,0,0,0,0,0,0,0,12,6,5,0
9ef3321ad20cadc72156cab66b72a316,0,0,5,0,0,0,16,0,7,18,0,0,0,7,0,0,3
4e88579530afedc3ba64c33a96a9e9d6,0,0,0,0,0,0,0,0,0,0,2,6,11,9,11,11,5
e1695c6a045496cbccbd8e8d6d275877,8,8,5,5,7,0,5,0,0,0,0,0,5,11,0,0,0
9ac3bb1d7dedb08a012692a6f536b5af,0,0,0,0,17,7,7,0,19,0,0,3,0,0,0,0,0
7041069483b0fa362520f7ca7e77650d,10,0,4,0,0,0,4,11,9,12,3,0,0,0,0,0,0
f908a38600f83fdc81be5d4d19e1c44e,2,0,0,0,0,0,14,0,0,0,17,12,0,6,0,0,0
d2d5427ea6e035b016300288ed5695e9,3,4,6,8,3,0,3,0,2,3,3,4,6,5,0,0,0
c0fd0d090593e2b69c3a735e115e1f1b,3,4,3,6,0,4,10,2,7,0,0,0,0,1,0,0,8
ec19ef66883b36d2b73e77929806ee7f,4,0,0,0,0,0,5,14,9,6,3,3,0,0,0,0,0
a1b5c22937f5d5a044f7d3d1769975c3,3,8,0,3,0,4,9,0,4,2,4,0,0,2,0,0,2
d1846621d56307859a8d6c6bf12e33cd,8,8,6,3,7,0,0,0,0,0,0,3,0,3,3,0,0
41aa0d37a9c4bc4a849852f7c6824e02,6,9,0,20,0,0,0,0,0,5,0,0,0,0,0,0,0
8cff7bc3fb5f7586f26e4837583cb108,4,0,0,0,0,3,8,3,10,2,3,4,0,0,0,0,0
84e7ff9bf4762d8524c746622aa60588,3,6,0,5,0,4,3,0,3,1,0,0,0,1,10,0,0
3046627c356a24ce50a771cb00466245,10,0,0,0,0,0,6,16,0,0,3,0,0,0,0,0,0
9af3467db68cf6063627304cecd46a65,0,0,0,0,0,11,16,0,0,0,0,7,0,0,0,0,0
c1ba9460c7bf03aa48206243533697a9,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
